Designator,Package,Val,MidX,MidY,Rot,Side,Comment
C1,1206,100nF,128.666240,-40.576500,0.000000,top,Capacitor
C2,1206,100nF,127.513080,-67.439540,0.000000,top,Capacitor
C3,1206,100nF,160.820100,-54.549040,270.000000,top,Capacitor
C4,1206,100nF,99.654360,-40.159940,180.000000,top,Capacitor
C5,1206,100nF,149.588220,-37.411660,0.000000,top,Capacitor
C6,1206,47nF,78.351380,-54.269640,180.000000,top,Capacitor
C8,1206,100nF,108.841540,-82.872580,270.000000,top,Capacitor
C9,1206,100nF,96.083120,-87.660480,0.000000,top,Capacitor
C10,1206,100nF,95.161100,-70.251320,180.000000,top,Capacitor
Q1,SOT-23,BC850,153.289000,-89.476580,0.000000,top,Transistor
Q2,SOT-23,BC850,153.243280,-84.328000,0.000000,top,Transistor
R1,1206,180Ω,88.115140,-70.990460,0.000000,top,Resistor
R2,1206,4.7kΩ,145.669000,-88.511380,180.000000,top,Resistor
R3,1206,4.7kΩ,145.694400,-83.393280,180.000000,top,Resistor
R4,1206,4.7kΩ,81.333340,-92.371240,270.000000,top,Resistor
R5,1206,180Ω,132.996940,-52.082700,270.000000,top,Resistor
R6,1206,1.8kΩ,132.979160,-57.546240,90.000000,top,Resistor
R7,1206,3.3kΩ,107.137200,-34.249360,0.000000,top,Resistor
R8,1206,3.3kΩ,113.197640,-34.315400,0.000000,top,Resistor
R9,1206,3.3kΩ,119.232680,-34.356040,0.000000,top,Resistor
R10,1206,3.3kΩ,125.058500,-34.315400,0.000000,top,Resistor
R11,1206,3.3kΩ,148.302980,-70.138620,90.000000,top,Resistor
R12,1206,1.8kΩ,148.310600,-75.773280,90.000000,top,Resistor
R13,1206,3.3kΩ,151.955500,-70.139560,90.000000,top,Resistor
R14,1206,1.8kΩ,151.968200,-75.819000,90.000000,top,Resistor
R15,1206,4.7kΩ,166.370000,-39.118540,180.000000,top,Resistor
R16,1206,180Ω,88.115140,-73.332340,0.000000,top,Resistor
R17,1206,3.3kΩ,97.421700,-31.376620,270.000000,top,Resistor
R18,1206,3.3kΩ,137.327640,-29.966920,0.000000,top,Resistor
R19,1206,4.7kΩ,166.370000,-57.510680,180.000000,top,Resistor
R20,1206,4.7kΩ,166.370000,-54.528720,180.000000,top,Resistor
R21,1206,4.7kΩ,166.370000,-60.584080,180.000000,top,Resistor
R22,1206,4.7kΩ,166.370000,-48.590200,180.000000,top,Resistor
R23,1206,4.7kΩ,166.372540,-51.706780,180.000000,top,Resistor
R24,1206,4.7kΩ,166.370000,-45.468540,180.000000,top,Resistor
R25,1206,4.7kΩ,166.370000,-42.293540,180.000000,top,Resistor
U1,TQFP-44,XC9572XL-VQ44,97.566480,-79.169260,0.000000,top,CPLD
U3,SOT-223-3,LM3940IMP-3.3,76.921360,-61.699140,270.000000,top,Voltage regulator
U5,SOIC,74HCT574D,117.327680,-73.776840,0.000000,top,Latch
U6,TSOP-2,IS62C1024AL,116.451380,-49.918620,0.000000,top,128 kbit static ram
